Local,Corrected,Server
1760921465921108,1760921465914468,1760921465914222
1760921470945108,1760921470938361,1760921470938400
1760921475968108,1760921475961253,1760921475961311
1760921480991108,1760921480984146,1760921480984172
1760921486014108,1760921486007039,1760921486007067
1760921496060108,1760921496052824,1760921496052849
1760921501084108,1760921501076717,1760921501076484
1760921506107108,1760921506099610,1760921506099638
1760921511130108,1760921511122503,1760921511122572
1760921516153108,1760921516145396,1760921516145427
1760921521176108,1760921521168288,1760921521168323
1760921526199108,1760921526191181,1760921526191220
1760921531222108,1760921531214074,1760921531214147
1760921541268108,1760921541259859,1760921541259898
1760921546291108,1760921546282752,1760921546282787
1760921551315108,1760921551306645,1760921551306420
1760921556338108,1760921556329538,1760921556329593
1760921561361108,1760921561352431,1760921561352477
1760921566384108,1760921566375323,1760921566375365
1760921571407108,1760921571398216,1760921571398277
1760921576430108,1760921576421109,1760921576421149
1760921581453108,1760921581444002,1760921581444047
1760921586476108,1760921586466894,1760921586466949
1760921591499108,1760921591489787,1760921591489828
1760921596522108,1760921596512680,1760921596512725
1760921601545108,1760921601535573,1760921601535619
1760921606568108,1760921606558466,1760921606558548
1760921611591108,1760921611581358,1760921611581405
1760921616614108,1760921616604251,1760921616604297
1760921621637108,1760921621627144,1760921621627199
1760921626661108,1760921626651037,1760921626650917
1760921631685108,1760921631674929,1760921631674715
1760921636708108,1760921636697822,1760921636697873
1760921641731108,1760921641720715,1760921641720767
1760921646754108,1760921646743608,1760921646743697
1760921651777108,1760921651766501,1760921651766550
1760921656800108,1760921656789393,1760921656789440
1760921661823108,1760921661812286,1760921661812348
1760921666846108,1760921666835179,1760921666835233
1760921671869108,1760921671858072,1760921671858141
1760921676892108,1760921676880964,1760921676881029
1760921681915108,1760921681903857,1760921681903922
1760921686938108,1760921686926750,1760921686926814
1760921691961108,1760921691949643,1760921691949707
1760921696984108,1760921696972536,1760921696972596
1760921702007108,1760921701995428,1760921701995502
1760921707031108,1760921707019321,1760921707019147
1760921712054108,1760921712042214,1760921712042295
1760921717077108,1760921717065107,1760921717065183
1760921722100108,1760921722087999,1760921722088118
1760921727123108,1760921727110892,1760921727110957
1760921732146108,1760921732133785,1760921732133851
1760921737169108,1760921737156678,1760921737156753
1760921742193108,1760921742180571,1760921742180421
1760921747216108,1760921747203463,1760921747203532
1760921752239108,1760921752226356,1760921752226443
1760921757262108,1760921757249249,1760921757249340
1760921762285108,1760921762272142,1760921762272214
1760921767308108,1760921767295034,1760921767295100
1760921772331108,1760921772317927,1760921772318003
1760921777354108,1760921777340820,1760921777340913
1760921782377108,1760921782363713,1760921782363785
1760921787400108,1760921787386606,1760921787386680
1760921792423108,1760921792409498,1760921792409592
1760921797446108,1760921797432391,1760921797432482
1760921802469108,1760921802455284,1760921802455377
1760921807492108,1760921807478177,1760921807478269
1760921812515108,1760921812501069,1760921812501167
1760921817538108,1760921817523962,1760921817524064
1760921822561108,1760921822546855,1760921822546943
1760921827584108,1760921827569748,1760921827569827
1760921832607108,1760921832592641,1760921832592741
1760921837630108,1760921837615533,1760921837615620
1760921842654108,1760921842639426,1760921842639239
1760921847677108,1760921847662319,1760921847662421
1760921852700108,1760921852685212,1760921852685307
1760921857723108,1760921857708104,1760921857708196
1760921862746108,1760921862730997,1760921862731087
1760921867769108,1760921867753890,1760921867753988
1760921872792605,1760921872777280,1760921872777348
1760921877816108,1760921877800676,1760921877800767
1760921882839108,1760921882823568,1760921882823664
1760921887862108,1760921887846461,1760921887846561
1760921892885108,1760921892869354,1760921892869457
1760921897908108,1760921897892247,1760921897892349
1760921902931108,1760921902915139,1760921902915245
1760921907954108,1760921907938032,1760921907938165
1760921912977108,1760921912960925,1760921912961030
1760921918001108,1760921917984818,1760921917984630
1760921923024108,1760921923007711,1760921923007827
1760921928047108,1760921928030603,1760921928030713
1760921933070108,1760921933053496,1760921933053605
1760921938093108,1760921938076389,1760921938076495
1760921943116108,1760921943099282,1760921943099413
1760921948139108,1760921948122174,1760921948122345
1760921953162108,1760921953145067,1760921953145179
1760921958185108,1760921958167960,1760921958168079
1760921963208108,1760921963190853,1760921963190997
1760921968232108,1760921968214746,1760921968214601
1760921973255108,1760921973237638,1760921973237756
1760921978278108,1760921978260531,1760921978260653
1760921983301108,1760921983283424,1760921983283557
1760921988324108,1760921988306317,1760921988306449
1760921993347108,1760921993329209,1760921993329332
1760921998370108,1760921998352102,1760921998352226
1760922003394108,1760922003375995,1760922003375880
1760922008417108,1760922008398888,1760922008399014
1760922013440108,1760922013421781,1760922013421921
