Local,Corrected,Server
1760927456805077,1760927456798626,1760927456798697
1760927461828580,1760927461822024,1760927461822036
1760927466851580,1760927466844919,1760927466844926
1760927471874580,1760927471867814,1760927471867814
1760927476897580,1760927476890709,1760927476890718
1760927481920580,1760927481913604,1760927481913643
1760927486943580,1760927486936499,1760927486936523
1760927491966580,1760927491959393,1760927491959398
1760927496989580,1760927496982288,1760927496982338
1760927502012580,1760927502005183,1760927502005230
1760927507035580,1760927507028078,1760927507028089
1760927512058580,1760927512050973,1760927512050981
1760927517081580,1760927517073868,1760927517073885
1760927522105580,1760927522097763,1760927522097553
1760927527128580,1760927527120658,1760927527120673
1760927532151580,1760927532143552,1760927532143569
1760927537174580,1760927537166447,1760927537166480
1760927542197580,1760927542189342,1760927542189341
1760927547220580,1760927547212237,1760927547212235
1760927552243580,1760927552235132,1760927552235141
1760927557266580,1760927557258027,1760927557258037
1760927562290580,1760927562281922,1760927562281650
1760927567313580,1760927567304817,1760927567304814
1760927572336580,1760927572327711,1760927572327720
1760927577359580,1760927577350606,1760927577350676
1760927582382580,1760927582373501,1760927582373498
1760927587406580,1760927587397396,1760927587397113
1760927592429580,1760927592420291,1760927592420307
1760927597452580,1760927597443186,1760927597443182
1760927602475580,1760927602466081,1760927602466083
1760927607498580,1760927607488976,1760927607488975
1760927612522077,1760927612512367,1760927612512265
1760927617545580,1760927617535765,1760927617535763
1760927622568580,1760927622558660,1760927622558662
1760927627591580,1760927627581555,1760927627581568
1760927632614580,1760927632604450,1760927632604446
1760927637637580,1760927637627345,1760927637627340
1760927642660580,1760927642650240,1760927642650258
1760927647683580,1760927647673134,1760927647673127
1760927652707580,1760927652697029,1760927652696733
1760927657730580,1760927657719924,1760927657719918
1760927662753580,1760927662742819,1760927662742821
1760927667776580,1760927667765714,1760927667765731
1760927672799580,1760927672788609,1760927672788603
1760927677822580,1760927677811504,1760927677811494
1760927682845580,1760927682834399,1760927682834413
1760927687868580,1760927687857293,1760927687857275
1760927692892580,1760927692881188,1760927692880889
1760927697915580,1760927697904083,1760927697904069
1760927702938580,1760927702926978,1760927702926978
1760927707961580,1760927707949873,1760927707949858
1760927712984580,1760927712972768,1760927712972755
1760927718007580,1760927717995663,1760927717995649
1760927723030580,1760927723018558,1760927723018596
1760927728053580,1760927728041452,1760927728041439
1760927733077580,1760927733065347,1760927733065047
1760927738100580,1760927738088242,1760927738088239
1760927743123580,1760927743111137,1760927743111168
1760927748146580,1760927748134032,1760927748134018
1760927753169580,1760927753156927,1760927753156915
1760927758192580,1760927758179822,1760927758179851
1760927763215580,1760927763202717,1760927763202707
1760927768238580,1760927768225611,1760927768225594
1760927773262580,1760927773249506,1760927773249221
1760927778285580,1760927778272401,1760927778272403
1760927783308580,1760927783295296,1760927783295280
1760927788331580,1760927788318191,1760927788318201
1760927793355580,1760927793342086,1760927793341796
1760927798378580,1760927798364981,1760927798364973
1760927803401580,1760927803387876,1760927803387865
1760927808424580,1760927808410770,1760927808410768
1760927813447580,1760927813433665,1760927813433694
1760927818471580,1760927818457560,1760927818457270
1760927823494580,1760927823480455,1760927823480451
1760927828517580,1760927828503350,1760927828503349
1760927833540580,1760927833526245,1760927833526253
1760927838564580,1760927838550140,1760927838549843
1760927843587580,1760927843573035,1760927843573026
1760927848610580,1760927848595929,1760927848595923
1760927853633580,1760927853618824,1760927853618818
1760927858656580,1760927858641719,1760927858641781
1760927863679580,1760927863664614,1760927863664601
1760927868702580,1760927868687509,1760927868687545
1760927873725580,1760927873710404,1760927873710404
1760927878748580,1760927878733299,1760927878733296
1760927883771580,1760927883756194,1760927883756180
1760927888795077,1760927888779585,1760927888779530
1760927893818580,1760927893802983,1760927893802969
1760927898841580,1760927898825878,1760927898825862
1760927903864580,1760927903848773,1760927903848772
1760927908887580,1760927908871668,1760927908871666
1760927913910580,1760927913894563,1760927913894551
1760927918933580,1760927918917458,1760927918917452
1760927923956580,1760927923940353,1760927923940381
1760927928979580,1760927928963247,1760927928963234
1760927934002580,1760927933986142,1760927933986147
1760927939025580,1760927939009037,1760927939009042
1760927944048580,1760927944031932,1760927944031948
1760927949072580,1760927949055827,1760927949055537
1760927954095580,1760927954078722,1760927954078715
1760927959118580,1760927959101617,1760927959101605
1760927964141580,1760927964124512,1760927964124555
1760927969164580,1760927969147406,1760927969147398
1760927974187580,1760927974170301,1760927974170315
1760927979210580,1760927979193196,1760927979193190
1760927984233580,1760927984216091,1760927984216076
1760927989256580,1760927989238986,1760927989238975
1760927994279580,1760927994261881,1760927994261878
1760927999302580,1760927999284776,1760927999284780
1760928004326580,1760928004308671,1760928004308382
1760928009349580,1760928009331565,1760928009331560
1760928014372580,1760928014354460,1760928014354483
1760928019395580,1760928019377355,1760928019377360
1760928024418580,1760928024400250,1760928024400240
1760928029441580,1760928029423145,1760928029423139
1760928034465077,1760928034446537,1760928034446467
1760928039488580,1760928039469935,1760928039469925
1760928044511580,1760928044492830,1760928044492830
1760928049534580,1760928049515724,1760928049515721
1760928054557580,1760928054538619,1760928054538613
1760928059580580,1760928059561514,1760928059561496
1760928064604580,1760928064585409,1760928064585129
1760928069627580,1760928069608304,1760928069608302
1760928074650580,1760928074631199,1760928074631240
1760928079673580,1760928079654094,1760928079654086
1760928084696580,1760928084676989,1760928084676979
1760928089719580,1760928089699883,1760928089699876
1760928094742580,1760928094722778,1760928094722766
1760928099765580,1760928099745673,1760928099745662
1760928104788580,1760928104768568,1760928104768562
1760928109811580,1760928109791463,1760928109791473
1760928114834580,1760928114814358,1760928114814362
1760928119857580,1760928119837253,1760928119837236
1760928124881580,1760928124861148,1760928124860849
1760928129904580,1760928129884042,1760928129884041
1760928134927580,1760928134906937,1760928134906929
1760928139950580,1760928139929832,1760928139929820
1760928144973580,1760928144952727,1760928144952725
1760928149996580,1760928149975622,1760928149975651
1760928155019580,1760928154998517,1760928154998531
1760928160042580,1760928160021412,1760928160021401
1760928165065580,1760928165044307,1760928165044298
1760928170089580,1760928170068201,1760928170067889
1760928175112580,1760928175091096,1760928175091083
1760928180135580,1760928180113991,1760928180113983
1760928185158580,1760928185136886,1760928185136905
1760928190181580,1760928190159781,1760928190159769
1760928195204580,1760928195182676,1760928195182664
1760928200228077,1760928200206068,1760928200205943
1760928205251580,1760928205229466,1760928205229503
1760928210274580,1760928210252360,1760928210252345
1760928215297580,1760928215275255,1760928215275250
1760928220320580,1760928220298150,1760928220298162
1760928225343580,1760928225321045,1760928225321036
1760928230366580,1760928230343940,1760928230343912
1760928235390580,1760928235367835,1760928235367544
1760928240413580,1760928240390730,1760928240390747
1760928245436580,1760928245413625,1760928245413605
1760928250459580,1760928250436519,1760928250436500
1760928255482580,1760928255459414,1760928255459402
1760928260506580,1760928260483309,1760928260483048
1760928265529580,1760928265506204,1760928265506216
1760928270552580,1760928270529099,1760928270529087
1760928275575580,1760928275551994,1760928275551985
1760928280598580,1760928280574889,1760928280574867
1760928285621580,1760928285597784,1760928285597762
1760928290644580,1760928290620678,1760928290620660
1760928295667580,1760928295643573,1760928295643588
1760928300690580,1760928300666468,1760928300666459
1760928305714580,1760928305690363,1760928305690055
1760928310737580,1760928310713258,1760928310713235
1760928315760580,1760928315736153,1760928315736124
1760928320783580,1760928320759048,1760928320759022
1760928325807580,1760928325782942,1760928325782650
1760928330835580,1760928330810837,1760928330817645
1760928335858580,1760928335833732,1760928335833705
1760928340881580,1760928340856627,1760928340856601
1760928345904580,1760928345879522,1760928345879504
1760928350928580,1760928350903417,1760928350903222
1760928355951580,1760928355926312,1760928355926289
1760928360974580,1760928360949206,1760928360949180
1760928365997580,1760928365972101,1760928365972110
1760928371020580,1760928370994996,1760928370994961
1760928376043580,1760928376017891,1760928376017856
1760928381066580,1760928381040786,1760928381040772
1760928386089580,1760928386063681,1760928386063651
1760928391112580,1760928391086576,1760928391086571
1760928396135580,1760928396109471,1760928396109438
1760928401158580,1760928401132366,1760928401132373
1760928406181580,1760928406155260,1760928406155289
1760928411204580,1760928411178155,1760928411178135
1760928416227580,1760928416201050,1760928416201012
1760928421250580,1760928421223945,1760928421223926
1760928426273580,1760928426246840,1760928426246805
1760928431296580,1760928431269735,1760928431269697
1760928436319580,1760928436292630,1760928436292596
1760928441342580,1760928441315525,1760928441315490
1760928446366580,1760928446339419,1760928446339179
1760928451389580,1760928451362314,1760928451362298
1760928456412580,1760928456385209,1760928456385185
1760928461436580,1760928461409104,1760928461408855
1760928466459580,1760928466431999,1760928466432011
1760928471482580,1760928471454894,1760928471454857
1760928476505580,1760928476477789,1760928476477769
1760928481528580,1760928481500683,1760928481500643
1760928486552580,1760928486524578,1760928486524271
1760928491575580,1760928491547473,1760928491547436
1760928496598580,1760928496570368,1760928496570374
1760928501621580,1760928501593263,1760928501593228
1760928506644580,1760928506616158,1760928506616113
1760928511667580,1760928511639053,1760928511639020
1760928516690580,1760928516661948,1760928516661941
1760928521713580,1760928521684842,1760928521684795
1760928526736580,1760928526707737,1760928526707691
1760928531760077,1760928531731129,1760928531730909
1760928536783580,1760928536754527,1760928536754519
1760928541806580,1760928541777422,1760928541777370
1760928546829580,1760928546800317,1760928546800272
1760928551853580,1760928551824212,1760928551824085
1760928556876580,1760928556847107,1760928556847112
1760928561899580,1760928561870001,1760928561869950
1760928566922580,1760928566892896,1760928566892846
1760928571945580,1760928571915791,1760928571915735
1760928576968580,1760928576938686,1760928576938629
1760928581991580,1760928581961581,1760928581961530
1760928587014580,1760928586984476,1760928586984430
1760928592038580,1760928592008371,1760928592008031
1760928597061580,1760928597031266,1760928597031202
1760928602084580,1760928602054160,1760928602054122
1760928607107580,1760928607077055,1760928607077036
1760928612130580,1760928612099950,1760928612099894
1760928617158580,1760928617127845,1760928617134587
1760928622182077,1760928622151237,1760928622151018
1760928627205580,1760928627174635,1760928627174568
1760928632228580,1760928632197530,1760928632197462
1760928637251580,1760928637220424,1760928637220375
1760928642274580,1760928642243319,1760928642243269
1760928647297580,1760928647266214,1760928647266164
1760928652320580,1760928652289109,1760928652289049
1760928657343580,1760928657312004,1760928657311939
1760928662366580,1760928662334899,1760928662334867
1760928667389580,1760928667357794,1760928667357780
1760928672412580,1760928672380689,1760928672380628
1760928677435580,1760928677403583,1760928677403539
1760928682458580,1760928682426478,1760928682426531
1760928687481580,1760928687449373,1760928687449313
1760928692504580,1760928692472268,1760928692472207
1760928697527580,1760928697495163,1760928697495114
1760928702550580,1760928702518058,1760928702517992
1760928707573580,1760928707540953,1760928707540890
1760928712596580,1760928712563848,1760928712563793
1760928717619580,1760928717586742,1760928717586696
1760928722642580,1760928722609637,1760928722609572
1760928727665580,1760928727632532,1760928727632464
1760928732688580,1760928732655427,1760928732655373
1760928737711580,1760928737678322,1760928737678273
1760928742735580,1760928742702217,1760928742701861
1760928747758580,1760928747725112,1760928747725041
1760928752781580,1760928752748007,1760928752747936
1760928757804580,1760928757770901,1760928757770882
1760928762827580,1760928762793796,1760928762793722
1760928767850580,1760928767816691,1760928767816620
1760928772873580,1760928772839586,1760928772839530
1760928777897580,1760928777863481,1760928777863134
1760928782920580,1760928782886376,1760928782886310
1760928787943580,1760928787909271,1760928787909198
1760928792966580,1760928792932166,1760928792932125
1760928797989580,1760928797955060,1760928797954989
1760928803012580,1760928802977955,1760928802977879
1760928808035580,1760928808000850,1760928808000794
1760928813058580,1760928813023745,1760928813023684
1760928818082580,1760928818047640,1760928818047309
1760928823105580,1760928823070535,1760928823070478
1760928828128580,1760928828093430,1760928828093364
1760928833151580,1760928833116325,1760928833116280
1760928838174580,1760928838139219,1760928838139143
1760928843197580,1760928843162114,1760928843162040
1760928848220580,1760928848185009,1760928848184952
1760928853243580,1760928853207904,1760928853207825
1760928858266580,1760928858230799,1760928858230717
1760928863290580,1760928863254694,1760928863254335
1760928868313580,1760928868277589,1760928868277516
1760928873336580,1760928873300484,1760928873300411
1760928878359580,1760928878323378,1760928878323301
1760928883382580,1760928883346273,1760928883346207
1760928888405580,1760928888369168,1760928888369125
1760928893428580,1760928893392063,1760928893391975
1760928898451580,1760928898414958,1760928898414879
1760928903479580,1760928903442853,1760928903449571
1760928908503580,1760928908466748,1760928908466438
1760928913526580,1760928913489642,1760928913489563
1760928918549580,1760928918512537,1760928918512458
1760928923572580,1760928923535432,1760928923535381
1760928928595580,1760928928558327,1760928928558257
1760928933618580,1760928933581222,1760928933581141
1760928938641580,1760928938604117,1760928938604031
1760928943664580,1760928943627012,1760928943626949
1760928948687580,1760928948649907,1760928948649832
1760928953710580,1760928953672801,1760928953672716
1760928958733580,1760928958695696,1760928958695599
1760928963756580,1760928963718591,1760928963718540
1760928968780580,1760928968742486,1760928968742107
1760928973803580,1760928973765381,1760928973765296
1760928978826580,1760928978788276,1760928978788176
1760928983853077,1760928983814668,1760928983816318
1760928988876580,1760928988838066,1760928988837978
1760928993899580,1760928993860960,1760928993860862
1760928998927580,1760928998888855,1760928998895565
1760929003950580,1760929003911750,1760929003911650
1760929008973580,1760929008934645,1760929008934547
1760929013996580,1760929013957540,1760929013957444
1760929019020077,1760929018980932,1760929018980711
1760929024043580,1760929024004330,1760929024004233
1760929029066580,1760929029027224,1760929029027121
1760929034089580,1760929034050119,1760929034050036
1760929039112580,1760929039073014,1760929039072950
1760929044135580,1760929044095909,1760929044095811
1760929049158580,1760929049118804,1760929049118702
1760929054182077,1760929054142196,1760929054142044
1760929059206580,1760929059166594,1760929059167107
1760929064229580,1760929064189489,1760929064189388
1760929069253580,1760929069213383,1760929069212995
1760929074276580,1760929074236278,1760929074236217
1760929079299580,1760929079259173,1760929079259066
1760929084322580,1760929084282068,1760929084281975
1760929089345580,1760929089304963,1760929089304868
1760929094369077,1760929094328355,1760929094328169
1760929099392580,1760929099351753,1760929099351641
1760929104415580,1760929104374647,1760929104374557
1760929109438580,1760929109397542,1760929109397471
1760929114461580,1760929114420437,1760929114420331
1760929119485580,1760929119444332,1760929119443939
1760929124508580,1760929124467227,1760929124467141
1760929129531580,1760929129490122,1760929129490037
1760929134559580,1760929134518017,1760929134524718
1760929139582580,1760929139540912,1760929139540801
1760929144605580,1760929144563806,1760929144563708
1760929149629580,1760929149587701,1760929149587410
1760929154653580,1760929154611596,1760929154611251
1760929159676580,1760929159634491,1760929159634395
1760929164699580,1760929164657386,1760929164657283
1760929169722580,1760929169680281,1760929169680212
1760929174745580,1760929174703176,1760929174703063
1760929179768580,1760929179726070,1760929179725965
1760929184791580,1760929184748965,1760929184748857
1760929189815580,1760929189772860,1760929189772463
1760929194838580,1760929194795755,1760929194795640
1760929199861580,1760929199818650,1760929199818558
1760929204884580,1760929204841545,1760929204841443
1760929209907580,1760929209864440,1760929209864326
1760929214930580,1760929214887335,1760929214887221
1760929219953580,1760929219910229,1760929219910134
1760929224976580,1760929224933124,1760929224933061
1760929229999580,1760929229956019,1760929229955906
1760929235022580,1760929234978914,1760929234978800
1760929240045580,1760929240001809,1760929240001701
1760929245069580,1760929245025704,1760929245025298
1760929250092580,1760929250048599,1760929250048474
1760929255115580,1760929255071494,1760929255071389
1760929260138580,1760929260094388,1760929260094300
1760929265161580,1760929265117283,1760929265117164
1760929270184580,1760929270140178,1760929270140064
1760929275207580,1760929275163073,1760929275162964
1760929280230580,1760929280185968,1760929280185908
1760929285253580,1760929285208863,1760929285208746
1760929290276580,1760929290231758,1760929290231641
1760929295299580,1760929295254653,1760929295254562
1760929300323580,1760929300278547,1760929300278200
1760929305346580,1760929305301442,1760929305301334
1760929310369580,1760929310324337,1760929310324225
1760929315392580,1760929315347232,1760929315347118
1760929320415580,1760929320370127,1760929320370003
1760929325438580,1760929325393022,1760929325392909
1760929330461580,1760929330415917,1760929330415808
1760929335484580,1760929335438812,1760929335438708
1760929340507580,1760929340461706,1760929340461588
1760929345530580,1760929345484601,1760929345484478
1760929350553580,1760929350507496,1760929350507385
1760929355577580,1760929355531391,1760929355531077
1760929360600580,1760929360554286,1760929360554202
1760929365623580,1760929365577181,1760929365577065
1760929370646580,1760929370600076,1760929370599973
1760929375669580,1760929375622971,1760929375622840
