Local,Server,RTT
3860700579,125946909845,506425
3866868116,125953077497,505947
3873036138,125959245401,505946
3879204268,125965413414,505942
3885372132,125971581161,505953
3891540244,125977749154,505951
3897708249,125983917049,505953
3903876252,125990084921,505969
3910044164,125996252720,505975
3916212179,126002420619,505972
3922380155,126008588494,505939
3928548204,126014756424,505946
3934716220,126020924329,505951
3940884227,126027092216,505947
3947052209,126033260084,505951
3953219719,126039427477,505951
3959387646,126045595291,505956
3965555638,126051763166,505949
3971723606,126057931019,505945
3977891284,126064098582,505949
3984059170,126070266353,505956
3990227236,126076434307,505947
3996395155,126082602108,505948
4002563214,126088770051,505943
4008731138,126094937862,505941
4014899131,126101105735,505947
4021067225,126107273720,505948
4027234774,126113441148,505952
4033402632,126119608881,505969
4039570630,126125776759,505971
4045738129,126131944160,505949
4051906221,126138112139,505950
4058074221,126144280020,505960
4064242226,126150447912,505949
4070410195,126156615764,505948
4076577720,126162783170,505949
4082745638,126168950973,505955
4088913668,126175118893,505943
4095081662,126181286773,505948
4101250342,126187455168,506283
4107418098,126193622977,505947
4113585615,126199790372,505941
4119753693,126205958343,505945
4125921750,126212126283,505952
4132089742,126218294161,505950
4138257740,126224462042,505948
4144425733,126230629919,505947
4150593709,126236797781,505942
4156761623,126242965583,505946
4162929156,126249132983,505976
4169097218,126255300934,505970
4175265292,126261468880,505985
4181433964,126267637208,506462
4187602108,126273805490,505937
4193770218,126279973488,505954
4199938236,126286141386,505945
4206106269,126292309303,505958
4212274250,126298477169,505943
4218442235,126304645038,505945
4224610276,126310812945,505985
4230778172,126316980731,505984
4236946171,126323148619,505974
4243114315,126329316614,506044
4249282330,126335484535,505995
4255450109,126341652223,505950
4261617622,126347819618,505953
4267785701,126353987583,505941
4273953759,126360155521,505948
4280121734,126366323382,505954
4286289717,126372491255,505942
4292457711,126378659133,505946
4298625229,126384826532,505957
4304793907,126390994871,506407
4310961615,126397162689,505934
4317129710,126403330666,505948
4323297252,126409498091,505949
4329465100,126415665825,505947
4335632670,126421833283,505942
4341800732,126428001231,505942
4347968807,126434169188,505947
4354137654,126440337696,506416
4360305726,126446505880,505943
4366473733,126452673770,505941
4372641776,126458841696,505953
4378809606,126465009415,505943
4384977162,126471176832,505989
4391145227,126477344789,505981
4397313742,126483513068,506228
4403481637,126489680970,505976
4409649638,126495848851,505972
4415817203,126502016320,505964
4421985260,126508184258,505949
4428153236,126514352122,505957
4434321214,126520519980,505944
4440489195,126526687848,505950
4446658138,126532856422,506469
4452826141,126539024549,505980
4458994186,126545192496,505948
4465162220,126551360414,505949
4471330284,126557528357,505962
4477498114,126563696077,505947
4483665678,126569863520,505944
4489833732,126576031462,505955
4496002446,126582199828,506410
4502170237,126588367737,505953
4508338236,126594535621,505950
4514505718,126600702988,505951
4520673132,126606870284,505946
4526841106,126613038146,505945
4533008614,126619205533,505943
4539176702,126625373510,505939
4545344148,126631540828,505970
4551512132,126637708694,505982
4557679622,126643876081,505944
4563847219,126650043564,505959
4570015269,126656211498,505958
4576184052,126662379938,506416
4582352220,126668548219,505944
4588519710,126674715596,505952
4594687267,126680883039,505962
